"编号","来源","客诉类型","客户地区","客户原话","低质量回复","优化回复","文化与情绪风险","建议处理方案","专业评分"
"1","模拟情境（基于公开平台常见客诉类型改写）","物流延误","美国","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"2","模拟情境（基于公开平台常见客诉类型改写）","物流延误","英国","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"3","模拟情境（基于公开平台常见客诉类型改写）","物流延误","德国","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"4","模拟情境（基于公开平台常见客诉类型改写）","物流延误","日本","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"5","模拟情境（基于公开平台常见客诉类型改写）","物流延误","东南亚","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"6","模拟情境（基于公开平台常见客诉类型改写）","物流延误","中东","Where is my order? It was supposed to arrive last week.","Please wait. Logistics is not our problem.","We are sorry your order has not arrived yet. We are checking the latest tracking update and will come back to you within 24 hours.","催促感；缺少时间承诺","查询物流+优惠券","待盲评"
"7","模拟情境（基于公开平台常见客诉类型改写）","商品质量","美国","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"8","模拟情境（基于公开平台常见客诉类型改写）","商品质量","英国","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"9","模拟情境（基于公开平台常见客诉类型改写）","商品质量","德国","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"10","模拟情境（基于公开平台常见客诉类型改写）","商品质量","日本","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"11","模拟情境（基于公开平台常见客诉类型改写）","商品质量","东南亚","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"12","模拟情境（基于公开平台常见客诉类型改写）","商品质量","中东","The item arrived damaged. I want a solution today.","Send photos first. We cannot do anything.","We are sorry the item arrived damaged. Please send two photos so we can arrange a replacement or refund promptly.","命令式；先推责","补发/退款二选一","待盲评"
"13","模拟情境（基于公开平台常见客诉类型改写）","描述不符","美国","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"14","模拟情境（基于公开平台常见客诉类型改写）","描述不符","英国","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"15","模拟情境（基于公开平台常见客诉类型改写）","描述不符","德国","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"16","模拟情境（基于公开平台常见客诉类型改写）","描述不符","日本","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"17","模拟情境（基于公开平台常见客诉类型改写）","描述不符","东南亚","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"18","模拟情境（基于公开平台常见客诉类型改写）","描述不符","中东","This product is much smaller than shown.","The size is written there.","We understand the size did not match your expectations. We can offer a partial refund or help arrange a return.","暗示客户责任；缺少补救","部分退款/退货","待盲评"
"19","模拟情境（基于公开平台常见客诉类型改写）","退款争议","美国","I want a full refund now.","Refund is impossible.","We understand you would like a refund. We will review the order details and explain the available options clearly.","直接拒绝；升级风险","全额/部分退款","待盲评"
"20","模拟情境（基于公开平台常见客诉类型改写）","退款争议","英国","I want a full refund now.","Refund is impossible.","We understand you would like a refund. We will review the order details and explain the available options clearly.","直接拒绝；升级风险","全额/部分退款","待盲评"
"21","模拟情境（基于公开平台常见客诉类型改写）","退款争议","德国","I want a full refund now.","Refund is impossible.","We understand you would like a refund. We will review the order details and explain the available options clearly.","直接拒绝；升级风险","全额/部分退款","待盲评"
"22","模拟情境（基于公开平台常见客诉类型改写）","退款争议","日本","I want a full refund now.","Refund is impossible.","We understand you would like a refund. We will review the order details and explain the available options clearly.","直接拒绝；升级风险","全额/部分退款","待盲评"
